วันเดือนปี,ล่าสุด,ราคาเปิด,สูงสุด,ต่ำสุด,ปริมาณ,% เปลี่ยน
12-Oct-21,56015.90,57480.60,57635.70,54155.40,74.85K,-2.54%
13-Oct-21,57380.10,56014.50,57697.40,54314.40,73.62K,2.44%
14-Oct-21,57345.80,57370.40,58506.50,56866.80,59.84K,-0.06%
15-Oct-21,61672.50,57348.20,62892.80,56874.80,121.48K,7.54%
16-Oct-21,60861.10,61669.20,62329.20,60161.90,49.93K,-1.32%
17-Oct-21,61527.50,60865.50,61651.40,59143.40,53.39K,1.09%
18-Oct-21,62056.30,61525.80,62623.60,60026.90,80.15K,0.86%
19-Oct-21,64278.50,62030.20,64454.00,61451.00,80.16K,3.58%
20-Oct-21,65979.10,64276.90,66967.10,63543.70,79.87K,2.65%
21-Oct-21,62210.20,66004.60,66616.90,62092.10,105.38K,-5.71%
22-Oct-21,60690.30,62200.80,63699.70,60055.70,75.69K,-2.44%
23-Oct-21,61312.50,60693.20,61728.70,59738.30,37.05K,1.03%
24-Oct-21,60866.50,61308.20,61469.90,59523.70,42.67K,-0.73%
25-Oct-21,63067.00,60864.30,63694.80,60655.80,51.06K,3.62%
26-Oct-21,60310.80,63067.50,63275.10,59907.30,57.13K,-4.37%
27-Oct-21,58438.10,60312.50,61452.90,58112.60,88.11K,-3.11%
28-Oct-21,60582.50,58437.20,62251.30,58128.10,88.47K,3.67%
29-Oct-21,62242.80,60579.90,62952.20,60322.20,63.39K,2.74%
30-Oct-21,61840.10,62245.00,62338.50,60786.00,40.51K,-0.65%
31-Oct-21,61309.60,61842.20,62393.70,60005.70,50.06K,-0.86%
1-Nov-21,60915.30,61310.10,62430.10,59612.70,61.21K,-0.64%
2-Nov-21,63221.70,60912.20,64256.40,60651.50,65.26K,3.79%
3-Nov-21,62918.50,63223.50,63508.60,60883.00,61.05K,-0.48%
4-Nov-21,61412.60,62915.40,63077.60,60742.90,49.91K,-2.39%
5-Nov-21,60974.30,61411.50,62560.30,60742.40,44.46K,-0.71%
6-Nov-21,61483.90,60973.20,61543.20,60093.60,34.89K,0.84%
7-Nov-21,63273.20,61483.80,63273.20,61347.20,34.34K,2.91%
8-Nov-21,67527.90,63276.40,67763.30,63276.40,81.08K,6.72%
9-Nov-21,66904.40,67528.70,68493.30,66334.90,66.13K,-0.92%
10-Nov-21,64932.60,66942.60,68990.60,62951.30,96.21K,-2.95%
11-Nov-21,64806.70,64922.80,65583.30,64121.90,50.37K,-0.19%
12-Nov-21,63610.00,64782.60,65449.70,63428.80,49.59K,-1.85%
